date,time_block,CNN,FNC,MSNBC
2012-06-04,4,0.00165809219045722,0.0066752293555135,0.0026941498157187
2012-06-04,5,0.00173146254607033,0.00741204626954876,0.00290300278912242
2012-06-04,6,0.00205897225819305,0.00739724350034864,0.00261135770495069
2012-06-04,7,0.00217980252017133,0.00780215459707142,0.00273046120131487
2012-06-04,8,0.00186316191851778,0.00619455423846997,0.0030930214662815
2012-06-04,9,0.00139106883155693,0.00595536856260584,0.0033691293953581
2012-06-04,10,0.00137074310190258,0.00694212446458811,0.00315532099810738
2012-06-04,11,0.00122794825181791,0.00668088355413886,0.00363340721187369
2012-06-04,12,0.0014991660025899,0.00615150786930969,0.00334615350134476
2012-06-04,13,0.00143694242454428,0.00579842165554338,0.00320258790716207
2012-06-04,14,0.00159388335491583,0.00618289869508915,0.00327678080486104
2012-06-04,15,0.00144040292857854,0.00635119533818109,0.00337369782846897
2012-06-04,16,0.00183900239067636,0.00881811734236478,0.00383426436896105
2012-06-04,17,0.0019520739117442,0.00891793505329216,0.00339713691602749
2012-06-04,18,0.00192928055583225,0.00906921232194442,0.0030773782249228
2012-06-04,19,0.00197176038450045,0.00904172801075804,0.00333031278015739
2012-06-04,20,0.00199688763821098,0.0079769845104094,0.00371254582129694
2012-06-04,21,0.00194572218348441,0.00723293181591792,0.00358816092240263
2012-06-04,22,0.00177103944615998,0.00720163985456719,0.00316935028389282
2012-06-04,23,0.00165239490985158,0.00636167073413687,0.00304226416973802
2012-06-04,24,0.00150356609224026,0.00608632607829465,0.00329270171331806
2012-06-04,25,0.00122494147823488,0.00500043779260883,0.00233218771790019
2012-06-04,26,0.00117463118836538,0.00454609971112661,0.00214784341069828
2012-06-04,27,0.00122880167347345,0.00435655867118239,0.001969407560514
2012-06-05,4,0.00176247952898103,0.00724309155678698,0.00309354501150335
2012-06-05,5,0.00169215001360612,0.00744458204487544,0.00339592014447221
2012-06-05,6,0.00139971996140811,0.00740047893525963,0.00325522920119734
2012-06-05,7,0.00148487667911832,0.0078201016747891,0.00355988546124731
2012-06-05,8,0.0016376011181753,0.00806262053781263,0.0039547336912154
2012-06-05,9,0.00156352027311184,0.00800579521559508,0.00356260792123296
2012-06-05,10,0.00146449372881775,0.00863272938673527,0.00417127526408233
2012-06-05,11,0.00149789748410558,0.00899388565915444,0.00404543329292729
2012-06-05,12,0.00169857828463993,0.0082440373054944,0.00398484080845063
2012-06-05,13,0.00145998392004552,0.00684812458253964,0.0033674291863543
2012-06-05,14,0.0018033213764441,0.00723678598817505,0.00354975335823665
2012-06-05,15,0.0020498181728224,0.00707641095415976,0.00362676842391708
2012-06-05,16,0.00214721544665166,0.0110497508843975,0.00445594240902456
2012-06-05,17,0.0018459166810974,0.0101581300249858,0.00389208346733295
2012-06-05,18,0.00181563416866635,0.0106277285208916,0.00424385943645944
2012-06-05,19,0.00226481310145214,0.0104173064839324,0.00436786309774138
2012-06-05,20,0.00330168171585484,0.00994742028053336,0.00463426588823195
2012-06-05,21,0.00271494124632017,0.00956007990500458,0.00353942235855825
2012-06-05,22,0.00261957573658561,0.00981014274051901,0.00359669816688519
2012-06-05,23,0.00304519704128838,0.0103849996289241,0.00389357148158227
2012-06-05,24,0.00276167874724785,0.00993527843059644,0.00361423570739431
