par,value
pr_rep_032_t01,0.635563706
pr_rep_032_t02,0.693767819
pr_rep_032_t03,0.42623218
pr_rep_032_t04,0.467677019
pr_rep_036_t01,0.384399567
pr_rep_036_t02,0.100867219
pr_rep_036_t03,0.913704194
pr_rep_036_t04,0.376009029
pr_rep_045_t01,0.654512202
pr_rep_045_t02,0.47091903
pr_rep_045_t03,0.814399564
pr_rep_045_t04,0.588241784
pr_rep_050_t01,0.584256668
pr_rep_050_t02,0.872389637
pr_rep_050_t03,0.620690668
pr_rep_050_t04,0.670204003
pr_rep_055_t01,0.376580771
pr_rep_055_t02,0.51118454
pr_rep_055_t03,0.514204941
pr_rep_055_t04,0.345330201
pr_rep_060_t01,0.876470926
pr_rep_060_t02,0.968587965
pr_rep_060_t03,0.294639607
pr_rep_060_t04,0.970375266
pr_rep_065_t01,0.269111232
pr_rep_065_t02,0.28447114
pr_rep_065_t03,0.328088052
pr_rep_065_t04,0.148142515
pr_rep_070_t01,0.609160388
pr_rep_070_t02,0.247867526
pr_rep_070_t03,0.44390902
pr_rep_070_t04,0.411092389
pr_rep_075_t01,0.445830934
pr_rep_075_t02,0.516214246
pr_rep_075_t03,0.5790944
pr_rep_075_t04,0.387341794
pr_rep_080_t01,0.728076784
pr_rep_080_t02,0.724625149
pr_rep_080_t03,0.979709993
pr_rep_080_t04,0.871634457
pr_rep_085_t01,0.631404302
pr_rep_085_t02,0.78028371
pr_rep_085_t03,0.63542931
pr_rep_085_t04,0.852167367
pr_rep_090_t01,0.648506643
pr_rep_090_t02,0.354082299
pr_rep_090_t03,0.642633398
pr_rep_090_t04,0.848098738
pr_rep_095_t01,0.544639868
pr_rep_095_t02,0.566516953
pr_rep_095_t03,0.449334198
pr_rep_095_t04,0.990617403
pr_rep_100_t01,0.654962595
pr_rep_100_t02,0.98405396
pr_rep_100_t03,0.534700163
pr_rep_100_t04,0.138633103
pr_rep_105_t01,0.279940868
pr_rep_105_t02,0.386814286
pr_rep_105_t03,0.365106967
pr_rep_105_t04,0.229983392
pr_rep_110_t01,0.975166212
pr_rep_110_t02,0.116255542
pr_rep_110_t03,0.43488367
pr_rep_110_t04,0.983843374
pr_rep_115_t01,0.473858788
pr_rep_115_t02,0.40893776
pr_rep_115_t03,0.567004931
pr_rep_115_t04,0.334246817
pr_rep_120_t01,0.516702566
pr_rep_120_t02,0.593413586
pr_rep_120_t03,0.240940368
pr_rep_120_t04,0.412324989
pr_rep_125_t01,0.496256914
pr_rep_125_t02,0.444410272
pr_rep_125_t03,0.500942679
pr_rep_125_t04,0.641765277
pr_rep_130_t01,0.711640577
pr_rep_130_t02,0.364206701
pr_rep_130_t03,0.718798839
pr_rep_130_t04,0.677727361
pr_rep_135_t01,0.518444174
pr_rep_135_t02,0.505534903
pr_rep_135_t03,0.580552175
pr_rep_135_t04,0.536707865
pr_rep_140_t01,0.431926548
pr_rep_140_t02,0.348123626
pr_rep_140_t03,0.833307651
pr_rep_140_t04,0.780179184
