household_id,zip,dma_code,timezone,r_prop
54439,67218,678,1,0.445771745742512
76514,10701,501,2,0.0023630876031093067
57449,49445,563,2,0.8288661515699584
63419,80501,751,3,0.44827422177799653
61961,48626,513,2,0.2635287343515782
78132,77084,618,1,0.05876740562072335
50889,80920,752,3,0.9496845280567896
57260,63123,609,1,0.2968657994871971
64808,78666,635,1,0.04297992035356838
62783,20877,511,2,0.007689947524960318
74049,60010,602,1,0.9641048236124786
68858,44111,510,2,0.0023370149391554558
65780,59102,756,3,0.6053937037040654
77154,91744,803,4,0.01946285547725232
46935,31032,503,2,0.9678437788715565
59636,32571,686,1,0.7963424440471155
67252,90003,803,4,0.0018332357358588367
43737,20010,511,2,3.78600838906702e-4
54860,50265,679,1,0.5669480005502003
67873,55934,611,1,0.09605807500185203
72289,70760,716,1,0.003593263020982776
50477,38133,640,1,0.052308516590803024
61962,91722,803,4,0.8022207757575455
75050,35211,630,1,1.1290299840671766e-4
50154,60169,602,1,0.26530852158374774
57671,30141,524,2,0.7583254732962418
51259,35053,630,1,0.4546699689141391
64737,44070,510,2,0.441518562453097
66988,85284,753,3,0.9232025595105786
69916,19061,504,2,0.33244574379893516
78052,92780,803,4,0.03275643523992957
75560,93305,800,4,0.03318955796870946
73506,60620,602,1,3.061455841762375e-5
61498,94102,807,4,0.08590303781098597
66767,48103,505,2,0.01642020848464797
67251,36201,630,1,0.02309950708119028
44880,71373,628,1,0.9483563623518844
68730,54140,658,1,0.050274951815156274
68843,85353,753,3,0.854034435689979
58847,75088,623,1,0.6460277443398058
43678,34275,539,2,0.5175754010632162
68417,98223,819,4,0.48365986855874
62372,11211,501,2,0.032027075281018176
57426,78249,641,1,0.5005512100372719
47386,77657,692,1,0.8849926552567452
62933,21040,512,2,0.8278945446999265
49624,89178,839,4,0.25298688034254035
72294,18034,504,2,0.953510347824735
75218,60647,602,1,0.0801177144197472
72290,78717,635,1,0.5127690300301047
66563,92530,803,4,0.8733201402400905
67002,33162,528,2,6.608453075838979e-4
71642,60901,602,1,0.367719612994169
62280,98383,819,4,0.9154859531830192
44319,45631,564,2,0.9365787994465872
58901,85250,753,3,0.22237992497585762
67322,23075,556,2,0.442125765164162
46377,70065,622,1,0.9599176374227076
62928,29605,567,2,0.9174920832003703
65943,19013,504,2,3.5067495719485055e-4
73441,68048,652,1,0.9649418334524712
51721,98055,819,4,0.02271573743518472
64205,80915,752,3,0.6387101533400483
46100,33434,548,2,0.359907320003433
66749,28086,517,2,0.5315922053481754
43801,78580,636,1,0.287061994609164
65707,77868,618,1,0.694143026348925
52434,74133,671,1,0.702538536473555
46693,98273,819,4,0.07834299004889943
49411,85296,753,3,0.9278295676951851
55947,98346,819,4,0.06289150407861312
64691,10028,501,2,0.019486228201740726
65203,52804,682,1,0.30117476235532215
71110,19103,504,2,0.15464724767050303
71892,16407,516,2,0.9182612822370054
76103,34288,539,2,0.010954434437619232
61453,34711,534,2,0.006005090497375614
44859,11779,501,2,0.8856753778808634
67487,60026,602,1,0.7524999813248628
62579,48192,505,2,0.48206574088650517
60354,19134,504,2,0.0015655325512986286
73930,55437,613,1,0.040026171462240405
52055,68524,722,1,0.0585210268760826
59452,11229,501,2,0.41076174927069997
44330,55421,613,1,0.9070137937884619
60694,32404,656,1,0.15376723105464069
58256,76010,623,1,0.003159037835957887
67868,30705,575,2,0.24124838147103078
68989,75417,623,1,0.9851968287222063
54061,89117,839,4,0.4466550065588111
71014,53202,617,1,0.5507457652948581
67832,44120,510,2,0.01627438486294507
58094,68118,652,1,0.967601023935279
56047,30047,524,2,0.07186064336589927
68370,30043,524,2,0.9103533566100496
57886,33759,539,2,0.917299823534171
68313,21811,576,2,0.577130081974
68215,38016,640,1,0.9164459439977957
54097,41102,564,2,0.18859803359032584
75501,93727,866,4,0.04737859343398858
60675,43123,535,2,0.6681489186655152
68224,27608,560,2,0.42527170977341183
67950,93722,866,4,0.0666741459929475
57354,30021,524,2,4.155205864436856e-4
73801,82901,770,3,0.6928652658970164
68344,15229,508,2,0.15836270939123576
76726,89117,839,4,0.06402268697784816
49695,60551,602,1,0.9373522120042747
49771,83544,881,4,0.3786977683509541
74211,60540,602,1,0.05046747062230143
74987,32909,534,2,0.003541119661284643
61963,28584,545,2,0.7149895930206805
73856,60643,602,1,4.576815266987734e-4
66623,19475,504,2,0.8680587959210391
59165,34689,539,2,0.928742674069119
47056,55406,613,1,0.1387739656029485
54185,89084,839,4,0.3437636606381679
67439,75020,657,1,0.9514021499620677
48527,32686,534,2,0.0940387322408217
73432,35752,691,1,0.9596018541102049
65915,33073,528,2,0.19344583660945985
61300,32571,686,1,0.6801385037220309
51194,77520,618,1,0.5742538692515432
73346,33569,539,2,0.923338535391578
68608,21218,512,2,0.059067520739262795
56154,24486,569,2,0.9482666671792014
53711,94565,807,4,0.2991363869632068
73991,80222,751,3,0.2541206053430752
49441,27305,518,2,0.030997819854646568
56199,14477,514,2,0.550378249730349
69134,19119,504,2,2.901739834017144e-4
55049,11581,501,2,0.08088351413789178
76975,81501,773,3,0.5428303847065377
43058,14052,514,2,0.4585166469294025
43612,40440,541,2,0.967431140399703
74975,45810,535,2,0.14473076365078902
65463,19053,504,2,0.474740612648221
61094,11212,501,2,0.012621203622085107
71048,61943,648,1,0.625
56050,46228,527,2,0.008588335749986761
56547,30281,524,2,0.5586333616234165
73016,21222,512,2,0.10260483456246555
56198,39530,746,1,0.00755857445977062
67072,89108,839,4,0.4019351092253349
60935,44074,510,2,0.2085095529049495
63757,99208,881,4,0.6343079446793761
71544,55016,613,1,0.5588456149678026
