par,lb,ub
058_t03,-1,1
058_t04,-1,1
059_t01,-1,1
059_t02,-1,1
059_t03,-1,1
059_t04,-1,1
060_t01,-1,1
060_t02,-1,1
060_t03,-1,1
060_t04,-1,1
061_t01,-1,1
061_t02,-1,1
061_t03,-1,1
061_t04,-1,1
062_t01,-1,1
062_t02,-1,1
062_t03,-1,1
062_t04,-1,1
063_t01,-1,1
063_t02,-1,1
063_t03,-1,1
063_t04,-1,1
064_t01,-1,1
064_t02,-1,1
064_t03,-1,1
064_t04,-1,1
065_t01,-1,1
065_t02,-1,1
065_t03,-1,1
065_t04,-1,1
066_t01,-1,1
066_t02,-1,1
066_t03,-1,1
066_t04,-1,1
067_t01,-1,1
067_t02,-1,1
067_t03,-1,1
067_t04,-1,1
068_t01,-1,1
068_t02,-1,1
068_t03,-1,1
068_t04,-1,1
069_t01,-1,1
069_t02,-1,1
069_t03,-1,1
069_t04,-1,1
070_t01,-1,1
070_t02,-1,1
070_t03,-1,1
070_t04,-1,1
071_t01,-1,1
071_t02,-1,1
071_t03,-1,1
071_t04,-1,1
072_t01,-1,1
072_t02,-1,1
072_t03,-1,1
072_t04,-1,1
073_t01,-1,1
073_t02,-1,1
073_t03,-1,1
073_t04,-1,1
074_t01,-1,1
074_t02,-1,1
074_t03,-1,1
074_t04,-1,1
075_t01,-1,1
075_t02,-1,1
075_t03,-1,1
075_t04,-1,1
076_t01,-1,1
076_t02,-1,1
076_t03,-1,1
076_t04,-1,1
077_t01,-1,1
077_t02,-1,1
077_t03,-1,1
077_t04,-1,1
078_t01,-1,1
078_t02,-1,1
078_t03,-1,1
078_t04,-1,1
079_t01,-1,1
079_t02,-1,1
079_t03,-1,1
079_t04,-1,1
080_t01,-1,1
080_t02,-1,1
080_t03,-1,1
080_t04,-1,1
081_t01,-1,1
081_t02,-1,1
081_t03,-1,1
081_t04,-1,1
082_t01,-1,1
082_t02,-1,1
082_t03,-1,1
082_t04,-1,1
083_t01,-1,1
083_t02,-1,1
083_t03,-1,1
083_t04,-1,1
084_t01,-1,1
084_t02,-1,1
084_t03,-1,1
084_t04,-1,1
085_t01,-1,1
085_t02,-1,1
085_t03,-1,1
085_t04,-1,1
086_t01,-1,1
086_t02,-1,1
086_t03,-1,1
086_t04,-1,1
087_t01,-1,1
087_t02,-1,1
087_t03,-1,1
087_t04,-1,1
088_t01,-1,1
088_t02,-1,1
088_t03,-1,1
088_t04,-1,1
089_t01,-1,1
089_t02,-1,1
089_t03,-1,1
089_t04,-1,1
090_t01,-1,1
090_t02,-1,1
090_t03,-1,1
090_t04,-1,1
091_t01,-1,1
091_t02,-1,1
091_t03,-1,1
091_t04,-1,1
092_t01,-1,1
092_t02,-1,1
092_t03,-1,1
092_t04,-1,1
093_t01,-1,1
093_t02,-1,1
093_t03,-1,1
093_t04,-1,1
094_t01,-1,1
094_t02,-1,1
094_t03,-1,1
094_t04,-1,1
095_t01,-1,1
095_t02,-1,1
095_t03,-1,1
095_t04,-1,1
096_t01,-1,1
096_t02,-1,1
096_t03,-1,1
096_t04,-1,1
097_t01,-1,1
097_t02,-1,1
097_t03,-1,1
097_t04,-1,1
098_t01,-1,1
098_t02,-1,1
098_t03,-1,1
098_t04,-1,1
099_t01,-1,1
099_t02,-1,1
099_t03,-1,1
099_t04,-1,1
100_t01,-1,1
100_t02,-1,1
100_t03,-1,1
100_t04,-1,1
101_t01,-1,1
101_t02,-1,1
101_t03,-1,1
101_t04,-1,1
102_t01,-1,1
102_t02,-1,1
102_t03,-1,1
102_t04,-1,1
103_t01,-1,1
103_t02,-1,1
103_t03,-1,1
103_t04,-1,1
104_t01,-1,1
104_t02,-1,1
104_t03,-1,1
104_t04,-1,1
105_t01,-1,1
105_t02,-1,1
105_t03,-1,1
105_t04,-1,1
106_t01,-1,1
106_t02,-1,1
106_t03,-1,1
106_t04,-1,1
107_t01,-1,1
107_t02,-1,1
107_t03,-1,1
107_t04,-1,1
108_t01,-1,1
108_t02,-1,1
108_t03,-1,1
108_t04,-1,1
109_t01,-1,1
109_t02,-1,1
109_t03,-1,1
109_t04,-1,1
110_t01,-1,1
110_t02,-1,1
110_t03,-1,1
110_t04,-1,1
111_t01,-1,1
111_t02,-1,1
111_t03,-1,1
111_t04,-1,1
112_t01,-1,1
112_t02,-1,1
112_t03,-1,1
112_t04,-1,1
113_t01,-1,1
113_t02,-1,1
113_t03,-1,1
113_t04,-1,1
114_t01,-1,1
114_t02,-1,1
114_t03,-1,1
114_t04,-1,1
115_t01,-1,1
115_t02,-1,1
115_t03,-1,1
115_t04,-1,1
116_t01,-1,1
116_t02,-1,1
116_t03,-1,1
116_t04,-1,1
117_t01,-1,1
117_t02,-1,1
117_t03,-1,1
117_t04,-1,1
118_t01,-1,1
118_t02,-1,1
118_t03,-1,1
118_t04,-1,1
119_t01,-1,1
119_t02,-1,1
119_t03,-1,1
119_t04,-1,1
120_t01,-1,1
120_t02,-1,1
120_t03,-1,1
120_t04,-1,1
121_t01,-1,1
121_t02,-1,1
121_t03,-1,1
121_t04,-1,1
122_t01,-1,1
122_t02,-1,1
122_t03,-1,1
122_t04,-1,1
123_t01,-1,1
123_t02,-1,1
123_t03,-1,1
123_t04,-1,1
124_t01,-1,1
124_t02,-1,1
124_t03,-1,1
124_t04,-1,1
125_t01,-1,1
125_t02,-1,1
125_t03,-1,1
125_t04,-1,1
126_t01,-1,1
126_t02,-1,1
126_t03,-1,1
126_t04,-1,1
127_t01,-1,1
127_t02,-1,1
127_t03,-1,1
127_t04,-1,1
128_t01,-1,1
128_t02,-1,1
128_t03,-1,1
128_t04,-1,1
129_t01,-1,1
129_t02,-1,1
129_t03,-1,1
129_t04,-1,1
130_t01,-1,1
130_t02,-1,1
130_t03,-1,1
130_t04,-1,1
131_t01,-1,1
131_t02,-1,1
131_t03,-1,1
131_t04,-1,1
132_t01,-1,1
132_t02,-1,1
132_t03,-1,1
132_t04,-1,1
133_t01,-1,1
133_t02,-1,1
133_t03,-1,1
133_t04,-1,1
134_t01,-1,1
134_t02,-1,1
134_t03,-1,1
134_t04,-1,1
135_t01,-1,1
135_t02,-1,1
135_t03,-1,1
135_t04,-1,1
136_t01,-1,1
136_t02,-1,1
136_t03,-1,1
136_t04,-1,1
137_t01,-1,1
137_t02,-1,1
137_t03,-1,1
137_t04,-1,1
138_t01,-1,1
138_t02,-1,1
138_t03,-1,1
138_t04,-1,1
139_t01,-1,1
139_t02,-1,1
139_t03,-1,1
139_t04,-1,1
140_t01,-1,1
140_t02,-1,1
140_t03,-1,1
140_t04,-1,1
141_t01,-1,1
141_t02,-1,1
141_t03,-1,1
141_t04,-1,1
142_t01,-1,1
142_t02,-1,1
142_t03,-1,1
142_t04,-1,1
143_t01,-1,1
143_t02,-1,1
