date,rating,group,prob
2012-06-04,0.0038621894818541,path_day_1,0.00701734884985118
2012-06-05,0.00476116798192448,path_day_2,0.00772187833340873
2012-06-06,0.00355558048195614,path_day_3,0.00673250324473284
2012-06-07,0.00348935669925331,path_day_4,0.00666096955861487
2012-06-08,0.00280130672133684,path_day_5,0.00608729734571475
2012-06-11,0.00335344228769234,path_day_6,0.00651533829242118
2012-06-12,0.00324575185411353,path_day_7,0.00641071442299658
2012-06-13,0.00339139156838403,path_day_8,0.00650760008033415
2012-06-14,0.00333301316123286,path_day_9,0.00644098012321238
2012-06-15,0.00262337668867875,path_day_10,0.00583412836175397
2012-06-18,0.00382166897384827,path_day_11,0.00678410835514974
2012-06-19,0.00360135432701061,path_day_12,0.00658804732054749
2012-06-20,0.00389791701903625,path_day_13,0.00680727212311838
2012-06-21,0.00374446888086633,path_day_14,0.00666482800436716
2012-06-22,0.00387952349543345,path_day_15,0.00675577189307904
2012-06-25,0.00366667170859722,path_day_16,0.00656839413552263
2012-06-26,0.00341305555900518,path_day_17,0.00634545003988191
2012-06-27,0.00358806019352645,path_day_18,0.00646748595792398
2012-06-28,0.00511607418260633,path_day_19,0.0076809423421565
2012-06-29,0.00332295315353075,path_day_20,0.00621888797491383
2012-07-02,0.00389371709361231,path_day_21,0.00666262059255569
2012-07-03,0.00342893425838523,path_day_22,0.0062702910777442
2012-07-04,0.00215732411491579,path_day_23,0.00522472561136227
2012-07-05,0.0039199673523569,path_day_24,0.00662898791483738
2012-07-06,0.00277936463153769,path_day_25,0.00569026296160292
2012-07-09,0.0038962469488763,path_day_26,0.00657491675338506
2012-07-10,0.00369770660660141,path_day_27,0.00639936540710673
2012-07-11,0.0041943126606185,path_day_28,0.0067845439656705
2012-07-12,0.00427624168676663,path_day_29,0.00684261500066065
2012-07-13,0.00333999458019458,path_day_30,0.00608065746049714
2012-07-16,0.00437018599809361,path_day_31,0.00689315526309597
2012-07-17,0.00441247460265785,path_day_32,0.00690716869716458
2012-07-18,0.00451115838069373,path_day_33,0.00696701246077165
2012-07-19,0.00415997326160779,path_day_34,0.0066647524899941
2012-07-23,0.00430675864459663,path_day_35,0.00676310483271657
2012-07-24,0.00401469035333885,path_day_36,0.00649683096382639
2012-07-25,0.0042235266534447,path_day_37,0.00664683088287463
2012-07-26,0.00380493851966127,path_day_38,0.00629119889062382
2012-07-27,0.00242818627756193,path_day_39,0.00516216355410464
2012-07-30,0.00362446470356105,path_day_40,0.00610821563839071
